male,female,word,p_w,p_w_male,p_w_female,PMI_male,PMI_female,NPMI_male,NPMI_female
1,3,krebsforschungszentrum,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,stichwahl,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,eu,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,mocht,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,arbeitsfeld,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,mannlich,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,storch,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,psycholog,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
198,147,tocht,0.002527528077540166,0.0018055973517905506,0.005477308294209703,-0.1174232152916673,2.3998558551128766,-0.00647283622849241,0.14090938627259258
3,6,kinderheim,6.593551506626519e-5,2.735753563319016e-5,2.23563603845294e-4,-0.6607581176229524,2.8475025772573357,-0.029589837007128337,0.14075731691410343
3,6,haupt-,6.593551506626519e-5,2.735753563319016e-5,2.23563603845294e-4,-0.6607581176229524,2.8475025772573357,-0.029589837007128337,0.14075731691410343
3,6,linksfraktion,6.593551506626519e-5,2.735753563319016e-5,2.23563603845294e-4,-0.6607581176229524,2.8475025772573357,-0.029589837007128337,0.14075731691410343
3,6,hotel,6.593551506626519e-5,2.735753563319016e-5,2.23563603845294e-4,-0.6607581176229524,2.8475025772573357,-0.029589837007128337,0.14075731691410343
3,6,dkp,6.593551506626519e-5,2.735753563319016e-5,2.23563603845294e-4,-0.6607581176229524,2.8475025772573357,-0.029589837007128337,0.14075731691410343
3,6,kulturwissenschaft,6.593551506626519e-5,2.735753563319016e-5,2.23563603845294e-4,-0.6607581176229524,2.8475025772573357,-0.029589837007128337,0.14075731691410343
3,6,wahlkreisburo,6.593551506626519e-5,2.735753563319016e-5,2.23563603845294e-4,-0.6607581176229524,2.8475025772573357,-0.029589837007128337,0.14075731691410343
3,6,gleichstell,6.593551506626519e-5,2.735753563319016e-5,2.23563603845294e-4,-0.6607581176229524,2.8475025772573357,-0.029589837007128337,0.14075731691410343
10,14,grund-,1.7582804017670717e-4,9.11917854439672e-5,5.216484089723526e-4,-0.4376145663087427,2.713971184632813,-0.020713909983528248,0.14002119081007297
86,73,mutt,0.001164860766170685,7.84249354818118e-4,0.00272002384678441,-0.1767027349215664,2.4745229242936597,-0.009312474910387492,0.1395577713630905
4,7,integration,8.058785174765746e-5,3.647671417758688e-5,2.608242044861763e-4,-0.5737467406333225,2.8009825616224426,-0.026028648082105494,0.13952088916614744
5,8,parteitag,9.524018842904972e-5,4.55958927219836e-5,2.9808480512705867e-4,-0.517657273982279,2.7674598695837993,-0.023724252304740776,0.1387741169673682
2,4,familien-,4.3957010044176793e-5,1.823835708879344e-5,1.4904240256352933e-4,-0.6607581176229524,2.8475025772573357,-0.02906214416196412,0.1379915671235482
2,4,dezernat,4.3957010044176793e-5,1.823835708879344e-5,1.4904240256352933e-4,-0.6607581176229524,2.8475025772573357,-0.02906214416196412,0.1379915671235482
